25_rmse_mean,25_rmse_stdev,25_r2_mean,25_r2_stdev,50_rmse_mean,50_rmse_stdev,50_r2_mean,50_r2_stdev,100_rmse_mean,100_rmse_stdev,100_r2_mean,100_r2_stdev
1.23512409,0.01947302,0.17683468,0.0250063,1.29185551,0.01492117,0.09958728,0.01896449,1.31274446,0.01538992,0.07023168,0.01980344
1.22528164,0.03437509,0.17609466,0.04491036,1.26953771,0.0094724,0.12024044,0.00699651,1.30233772,0.02055519,0.06544544,0.02588677
1.21532052,0.01997922,0.17821285,0.02422036,1.27922475,0.02113481,0.09456852,0.03400779,1.30618592,0.01417205,0.04367934,0.0229766
1.1819137,0.01139693,0.21790788,0.01145824,1.25463042,0.01273651,0.1236595,0.01928536,1.28002093,0.00971892,0.06775762,0.01235237
1.20218246,0.02173293,0.18563873,0.02907253,1.25535773,0.01900302,0.11369251,0.02533694,1.31113505,0.02847288,0.01425908,0.04353718
1.17442579,0.03159526,0.21777841,0.03940501,1.2460753,0.01010815,0.11926524,0.0181915,1.28380245,0.0050967,0.04942346,0.00238996
1.19362385,0.00281188,0.18945314,0.00800625,1.24583034,0.02528665,0.11403224,0.03384945,,,,
1.23972294,0.01993995,0.1212657,0.02200529,1.26470084,0.01694122,0.08300475,0.02505274,,,,
1.16395753,0.02286761,0.22211347,0.02834789,1.26484657,0.02252558,0.07778717,0.03332872,,,,
1.18629126,0.02055482,0.189957,0.0298981,1.27748647,0.02325552,0.05662771,0.03362914,,,,
1.17807874,0.03780976,0.19742237,0.051804,1.25172219,0.00952128,0.09043058,0.0151889,,,,